date,open,high,low,close,volume
2023-11-20,0.2389,0.2389,0.2389,0.2389,100.0
2023-11-21,0.13,0.13,0.1,0.1032,5208.0
2023-11-22,0.2,0.2,0.15,0.2,3193.0
2023-11-24,0.16,0.1802,0.16,0.18,1190.0
2023-11-27,0.18,0.18,0.18,0.18,0.0
2023-11-28,0.18,0.18,0.18,0.18,0.0
2023-11-29,0.13,0.13,0.13,0.13,104.0
2023-11-30,0.11,0.11,0.1,0.1,1424.0
2023-12-01,0.1,0.1799,0.1,0.179,5163.0
2023-12-04,0.13,0.13,0.13,0.13,100.0
2023-12-05,0.13,0.13,0.13,0.13,0.0
2023-12-06,0.13,0.13,0.13,0.13,0.0
2023-12-07,0.13,0.13,0.13,0.13,0.0
2023-12-08,0.13,0.13,0.13,0.13,0.0
2023-12-11,0.13,0.13,0.13,0.13,1.0
2023-12-12,0.17,0.1797,0.17,0.176,1001.0
2023-12-13,0.176,0.176,0.176,0.176,0.0
2023-12-14,0.176,0.176,0.176,0.176,0.0
2023-12-15,0.176,0.176,0.176,0.176,99.0
2023-12-18,0.176,0.176,0.176,0.176,0.0
2023-12-19,0.176,0.176,0.176,0.176,0.0
2023-12-20,0.176,0.176,0.176,0.176,0.0
2023-12-21,0.176,0.176,0.176,0.176,0.0
2023-12-22,0.176,0.176,0.176,0.176,30.0
2023-12-26,0.1,0.14,0.1,0.11,3899.0
2023-12-27,0.11,0.11,0.11,0.11,984.0
2023-12-28,0.11,0.11,0.11,0.11,0.0
2023-12-29,0.14,0.14,0.138,0.138,5504.0
2024-01-02,0.138,0.138,0.138,0.138,0.0
2024-01-03,0.1399,0.15,0.11,0.15,29954.0
2024-01-04,0.13,0.13,0.13,0.13,126.0
2024-01-05,0.13,0.13,0.13,0.13,0.0
2024-01-08,0.13,0.13,0.13,0.13,0.0
2024-01-09,0.13,0.13,0.13,0.13,0.0
2024-01-10,0.1427,0.15,0.12,0.12,2990.0
2024-01-11,0.12,0.12,0.12,0.12,0.0
2024-01-12,0.15,0.15,0.12,0.12,720.0
2024-01-16,0.12,0.12,0.12,0.12,0.0
2024-01-17,0.15,0.15,0.15,0.15,100.0
2024-01-18,0.15,0.15,0.15,0.15,0.0
2024-01-19,0.15,0.15,0.15,0.15,0.0
2024-01-22,0.15,0.15,0.15,0.15,601.0
2024-01-23,0.1166,0.1166,0.1166,0.1166,150.0
2024-01-24,0.11,0.11,0.1,0.1,1000.0
2024-01-25,0.12,0.15,0.12,0.15,200.0
2024-01-26,0.15,0.15,0.15,0.15,100.0
2024-01-29,0.13,0.13,0.11,0.11,10100.0
2024-01-30,0.11,0.11,0.11,0.11,0.0
2024-01-31,0.1731,0.1731,0.1731,0.1731,100.0
2024-02-01,0.1731,0.1731,0.1731,0.1731,40.0
2024-02-02,0.1731,0.1731,0.1731,0.1731,0.0
2024-02-05,0.1522,0.1525,0.1522,0.1524,4880.0
2024-02-06,0.1524,0.1524,0.1524,0.1524,0.0
2024-02-07,0.1524,0.1524,0.1524,0.1524,9.0
2024-02-08,0.11,0.11,0.11,0.11,800.0
2024-02-09,0.11,0.11,0.11,0.11,0.0
2024-02-12,0.11,0.11,0.11,0.11,58.0
2024-02-13,0.11,0.1525,0.11,0.1525,2810.0
2024-02-14,0.1525,0.1525,0.1525,0.1525,0.0
2024-02-15,0.1525,0.1525,0.11,0.1323,8100.0
2024-02-16,0.1313,0.1313,0.1313,0.1313,600.0
2024-02-20,0.1313,0.1313,0.1313,0.1313,0.0
2024-02-21,0.1313,0.1313,0.1313,0.1313,0.0
2024-02-22,0.1313,0.1313,0.1313,0.1313,1.0
2024-02-23,0.1313,0.1313,0.1313,0.1313,125.0
2024-02-26,0.1313,0.1313,0.1313,0.1313,0.0
2024-02-27,0.1525,0.1525,0.1111,0.1111,1000.0
2024-02-28,0.1525,0.1525,0.1525,0.1525,400.0
2024-02-29,0.148,0.148,0.148,0.148,1280.0
2024-03-01,0.148,0.148,0.148,0.148,90.0
2024-03-04,0.148,0.148,0.148,0.148,85.0
2024-03-05,0.148,0.148,0.148,0.148,0.0
2024-03-06,0.148,0.148,0.148,0.148,27.0
2024-03-07,0.148,0.148,0.148,0.148,0.0
2024-03-08,0.148,0.148,0.148,0.148,0.0
2024-03-11,0.148,0.148,0.148,0.148,0.0
2024-03-12,0.148,0.148,0.148,0.148,0.0
2024-03-13,0.1201,0.1201,0.12,0.12,1364.0
2024-03-14,0.1523,0.1524,0.1513,0.1513,6788.0
2024-03-15,0.1513,0.1513,0.1513,0.1513,0.0
2024-03-18,0.1513,0.1513,0.1513,0.1513,132.0
2024-03-19,0.1513,0.1513,0.1513,0.1513,0.0
2024-03-20,0.1101,0.1524,0.11,0.11,22334.0
2024-03-21,0.14,0.14,0.14,0.14,100.0
2024-03-22,0.1524,0.1524,0.1524,0.1524,1000.0
2024-03-25,0.1524,0.1524,0.1524,0.1524,0.0
2024-03-26,0.1524,0.1524,0.1524,0.1524,0.0
2024-03-27,0.1102,0.14,0.11,0.14,2947.0
2024-03-28,0.14,0.1524,0.14,0.145,850.0
2024-04-01,0.1524,0.1524,0.1401,0.1401,2310.0
2024-04-02,0.1401,0.1401,0.1401,0.1401,160.0
2024-04-03,0.1495,0.1525,0.1495,0.1524,3936.0
2024-04-04,0.1506,0.1525,0.13,0.13,10080.0
2024-04-05,0.13,0.1525,0.13,0.1524,27609.0
2024-04-08,0.1524,0.1524,0.1524,0.1524,0.0
2024-04-09,0.1525,0.1525,0.13,0.1525,1698.0
2024-04-10,0.1525,0.175,0.1525,0.175,5533.0
2024-04-11,0.1525,0.175,0.1525,0.175,6730.0
2024-04-12,0.175,0.175,0.1749,0.175,6128.0
2024-04-15,0.175,0.175,0.175,0.175,0.0
2024-04-16,0.175,0.175,0.175,0.175,0.0
2024-04-17,0.175,0.175,0.175,0.175,0.0
2024-04-18,0.175,0.175,0.175,0.175,0.0
2024-04-19,0.175,0.175,0.175,0.175,1.0
2024-04-22,0.175,0.175,0.175,0.175,0.0
2024-04-23,0.175,0.175,0.175,0.175,0.0
2024-04-24,0.175,0.175,0.175,0.175,0.0
2024-04-25,0.175,0.175,0.175,0.175,0.0
2024-04-26,0.175,0.175,0.175,0.175,0.0
2024-04-29,0.175,0.175,0.175,0.175,0.0
2024-04-30,0.175,0.175,0.175,0.175,0.0
2024-05-01,0.175,0.175,0.175,0.175,0.0
2024-05-02,0.175,0.175,0.175,0.175,0.0
2024-05-03,0.175,0.175,0.175,0.175,0.0
2024-05-06,0.175,0.175,0.175,0.175,0.0
2024-05-07,0.1331,0.1331,0.1331,0.1331,395.0
2024-05-08,0.13,0.1595,0.13,0.1595,30125.0
2024-05-09,0.1595,0.1595,0.1595,0.1595,0.0
2024-05-10,0.1595,0.1595,0.1595,0.1595,0.0
2024-05-13,0.1595,0.1595,0.1595,0.1595,0.0
2024-05-14,0.1595,0.1595,0.1595,0.1595,1.0
2024-05-15,0.1595,0.1595,0.1595,0.1595,1.0
2024-05-16,0.1595,0.1595,0.1595,0.1595,1552.0
2024-05-17,0.11,0.11,0.07,0.07,3092.0
2024-05-20,0.07,0.07,0.0501,0.0507,4694.0
2024-05-21,0.0507,0.0507,0.0507,0.0507,0.0
2024-05-22,0.0507,0.0507,0.0507,0.0507,3.0
2024-05-23,0.0507,0.0507,0.0507,0.0507,49.0
2024-05-24,0.0507,0.0507,0.0507,0.0507,1.0
2024-05-28,0.0501,0.0501,0.05,0.05,1000.0
2024-05-29,0.0431,0.0431,0.0352,0.0352,11328.0
2024-05-30,0.04,0.07,0.04,0.07,10232.0
2024-05-31,0.0699,0.07,0.05,0.07,18564.0
2024-06-03,0.07,0.07,0.07,0.07,900.0
2024-06-04,0.07,0.07,0.07,0.07,0.0
2024-06-05,0.07,0.07,0.07,0.07,0.0
2024-06-06,0.07,0.07,0.07,0.07,0.0
2024-06-07,0.07,0.07,0.07,0.07,0.0
2024-06-10,0.07,0.07,0.07,0.07,0.0
2024-06-11,0.0454,0.0455,0.0454,0.0455,2000.0
2024-06-12,0.045,0.0451,0.045,0.0451,3000.0
2024-06-13,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-14,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-17,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-18,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-20,0.0451,0.0451,0.0451,0.0451,15.0
2024-06-21,0.0451,0.0451,0.0451,0.0451,109.0
2024-06-24,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-25,0.0451,0.0451,0.0451,0.0451,0.0
2024-06-26,0.0455,0.0455,0.0455,0.0455,1100.0
2024-06-27,0.0455,0.0455,0.0455,0.0455,0.0
2024-06-28,0.0455,0.0455,0.0455,0.0455,0.0
2024-07-01,0.0455,0.0455,0.0455,0.0455,0.0
2024-07-02,0.0455,0.0455,0.0455,0.0455,0.0
2024-07-03,0.0455,0.0455,0.0455,0.0455,0.0
2024-07-05,0.0455,0.0455,0.0455,0.0455,0.0
2024-07-08,0.0455,0.0455,0.0455,0.0455,67.0
2024-07-09,0.0455,0.0455,0.0455,0.0455,1.0
2024-07-10,0.0455,0.0455,0.0455,0.0455,30.0
