date,close,YesterdayClose,YesterdayOpenLogR,YesterdayHighLogR,YesterdayLowLogR,YesterdayVolumeLogR,YesterdayCloseLogR,MA10,MA20,MA30,DayOfWeek,DayOfMonth,MonthNumber,EMA10,EMA30,RSI,MACD,MACD_Signal,BollingerUpper,BollingerLower,Volatility_10,Volatility_20,Volatility_30,OBV,ZScore,insider_shares,insider_amount,insider_buy_flag,sentiment,num_articles,fear_greed,fear_greed_correlation,overnight_gap,abnormal_vol,volatility_5d,volatility_20d,momentum_5d,momentum_20d,skew_5d,intraday_range,sentiment_change
2016-01-29,4.63,4.655,-0.004225104216337259,0.00635700511419955,-0.005385042630887711,3.2398947507128684,-0.005385042630887711,4.714119999999999,4.94206,5.005376666666666,4,29,1,4.736056562297792,4.923867821480046,25.641025641025664,-0.13633395684563343,-0.10283045713421807,5.485698921963543,4.398421078036456,0.023872151463917107,0.02233786441430685,0.020720992328363882,-644606.0,-1.1480414201135025,0.0,0.0,-1,0.0,0,27.0,0.07841056781124535,0.009667024704618674,-0.547578078076535,0.25394668744632154,0.3546026043632125,0.01758241758241752,-0.1394052044609665,0.3981512778048396,0.025917926565874754,0.0
2016-02-01,4.85,4.63,0.12953405219190212,0.11895194286136529,0.017131039930183774,0.39314387957588776,0.046421836851249176,4.69912,4.91806,4.998376666666667,0,1,2,4.75677355097092,4.919102155578107,40.625,-0.11948277809254915,-0.10616092132588428,5.431108303460999,4.405011696539001,0.029620383087281946,0.025457121283231764,0.022304511421506197,-633636.0,-0.26531614875585996,0.0,0.0,-1,0.0,0,27.0,0.07264216412127532,0.15550755939524832,-0.18697366911769067,0.3956220452797769,0.40411927206624443,0.04301075268817178,-0.0900562851782365,1.1762858190562637,0.13195876288659789,0.0
2016-02-02,4.81,4.85,-0.09811785595852336,-0.08990425742113456,-0.006795863438125773,0.31820508829267113,-0.008281620831721986,4.68712,4.90006,4.989706666666666,1,2,2,4.766451087158025,4.912063306831133,40.94488188976377,-0.10810954370659864,-0.10655064580202717,5.401008861346354,4.3991111386536454,0.029430567380538175,0.02475987773502097,0.02233274773648189,-648716.0,-0.35955765927066574,0.0,0.0,-1,0.0,0,23.0,0.06642519466043004,0.0,0.211162123244569,0.39732144963365573,0.39305087387538423,0.014767932489451407,-0.06963249516441017,2.1249106033030074,0.044054054054054055,0.0
2016-02-03,4.89,4.81,-0.016632400049142033,0.004081638319648678,0.01945426031004902,0.12617682778485212,0.016495219369110845,4.6961200000000005,4.8750599999999995,4.984373333333334,2,3,2,4.7889145258565655,4.910639867680738,45.801526717557245,-0.09158510601154912,-0.10355753784393157,5.319812176527911,4.430307823472088,0.02861555631304738,0.02283649771563922,0.022570089451091513,-631608.0,0.06718348234575797,0.0,0.0,-1,0.0,0,25.0,0.06352663467295924,-0.008316008316008323,0.3868235460798385,0.3747099863740233,0.36251816262765596,0.045720884478850365,-0.09276437847866414,1.4469931705078296,0.028629856850715864,0.0
2016-02-04,4.93,4.89,0.016384946754688486,0.004065046248169372,-0.0020986366569211382,-1.0934816803987368,0.008146684567818108,4.738119999999999,4.8590599999999995,4.978706666666667,3,4,2,4.8145664302462805,4.91188890847553,44.53124999999998,-0.07440402113922673,-0.0977268345029906,5.268652806269063,4.449467193730936,0.018286592018358843,0.022427910620143376,0.022544056760957384,-625876.0,0.34639280238432385,0.0,0.0,-1,0.0,0,25.0,0.06288055687428831,-0.008425357873210615,-0.6948657161993792,0.35574580314788556,0.3560320435661028,0.059076262083780806,-0.06095238095238098,1.2164436349231293,0.03448275862068964,0.0
2016-02-05,4.89,4.93,-0.0023538653473287106,-0.0020304575503819517,0.016129718064280818,-1.880739413292527,-0.008146684567818138,4.772119999999999,4.84556,4.9723733333333335,4,5,2,4.828281624746956,4.910476720831947,45.59999999999999,-0.06328603132599131,-0.09083867386759076,5.23044198273182,4.4606780172681795,0.01908091510882061,0.022215972058093295,0.022576507680978398,-626750.0,0.23092793112617552,0.0,0.0,-1,0.0,0,17.0,0.07265063177518914,-0.01878296146044625,-1.0857806464903743,0.3644842440431228,0.3526676231956479,0.056155507559395135,-0.05232558139534893,1.1535675572408068,0.01689161554192234,0.0
2016-02-08,4.94,4.89,0.02098794489222183,0.004056800695614469,0.016931144196607142,1.4438182052580772,0.010173027713050568,4.80112,4.832559999999999,4.966373333333333,0,8,2,4.848594056611145,4.912381448520208,50.40650406504068,-0.04986554322358838,-0.08264404773879029,5.18306290726326,4.4820570927367385,0.01843375362569902,0.022282510569969688,0.022612505495204077,-623047.0,0.6130619619614383,0.0,0.0,-1,0.0,0,14.0,0.09050123926950067,0.01022494887525577,-0.7449433611319302,0.17963071522162585,0.3537238893258474,0.01855670103092799,-0.04999999999999993,-0.2524129080471731,0.00404858299595151,0.0
2016-02-09,4.71,4.94,-0.014271394105332794,-0.00405680069561443,-0.04362062247589041,1.3693407635689676,-0.04767742317150481,4.79812,4.813560000000001,4.954373333333334,1,9,2,4.8233951372273,4.899324580873744,46.61654135338347,-0.057130225841664384,-0.07754128335936511,5.146038402306072,4.4810815976939296,0.02412147902699413,0.024065241413390583,0.024058949052249957,-637610.0,-0.6229577577473203,0.0,0.0,-1,0.0,0,20.0,0.09215698807519342,-0.014170040485830015,0.32987438725490015,0.40507369664794646,0.3820238641233841,-0.02079002079002068,-0.07465618860510803,-1.6113824729197934,0.04458598726114649,0.0
2016-02-10,4.671,4.71,-0.010320009031989472,-0.020534602441707753,-0.023631604533277173,1.3233247978165248,-0.008314726508355299,4.7976,4.795109999999999,4.939406666666667,2,10,2,4.7956869304587,4.884593962752858,57.460611677479164,-0.06528198315392686,-0.07508942331827746,5.115410581855293,4.474809418144706,0.023863470182043774,0.024046687495155664,0.023973923635283997,-692307.0,-0.7749595662993206,0.0,0.0,-1,0.0,0,16.0,0.09807955677523167,0.02335456475583871,2.9285543607230338,0.3617044817631452,0.3817293298024116,-0.044785276073619484,-0.07321428571428568,-1.4571384155341922,0.047099122243631046,0.0
2016-02-11,4.7,4.671,-0.01884872555866727,-0.016736792355523864,0.017241806434506173,-1.614790714348093,0.006189327196041818,4.802099999999999,4.78011,4.920406666666667,3,11,2,4.7782893067389365,4.8726846748333195,57.02247191011237,-0.06861134306348937,-0.07379380726731985,5.087862531478745,4.472357468521254,0.02387124439205773,0.02411776709559752,0.023269056655420572,-681426.0,-0.5206131018001537,0.0,0.0,-1,0.0,0,18.0,0.10713150591471067,0.012631128238064688,-0.18447909543771374,0.3560631479232288,0.38285768347876553,-0.04665314401622711,-0.05999999999999994,-1.4962993908558524,0.012765957446808616,0.0
2016-02-12,4.801,4.7,0.010515343999522907,0.014659948410684617,0.021142436573809383,-1.2699112776646009,0.02126172083279041,4.8192,4.76666,4.901106666666666,4,12,2,4.782418523695493,4.868059857102137,57.06267539756781,-0.06238094022268026,-0.07151123385839193,5.0429749720689605,4.490345027931039,0.024548909022429465,0.024448377565167462,0.023291626217114975,-678370.0,0.24855692576390653,0.0,0.0,-1,0.0,0,24.0,0.09551114258711009,0.017021276595744695,-0.7394217145809817,0.4187932020069691,0.38810596197866365,-0.018200408997954942,-0.05305719921104535,-1.4026964033367484,0.006248698187877392,0.0
2016-02-16,4.9,4.801,0.024794658613216274,0.01853812099891128,-0.002975132618360427,0.6099362832040898,0.02041097556777773,4.824199999999999,4.761660000000001,4.886773333333334,1,16,2,4.803796973932676,4.870120511482646,57.42115027829314,-0.04889124067249995,-0.06698723522121354,5.023433034677385,4.499886965322617,0.020355144891700937,0.02481482984000653,0.0236733420939912,-672746.0,1.0569461455072562,0.0,0.0,-1,0.0,0,34.0,0.10199068311651045,0.020620704019995877,-0.5417835084796727,0.4457122776672873,0.39392321149825205,-0.0080971659919028,-0.019999999999999907,-1.3217671325096823,0.02738775510204097,0.0
2016-02-17,4.94,4.9,0.010132169239752539,0.024851883131630764,0.01936724153876164,0.3527733168765453,0.008130126083250309,4.8372,4.76216,4.879106666666667,2,17,2,4.828561160490371,4.874628865580539,62.511857332574486,-0.03457433942181787,-0.06050465606133441,5.025321398545089,4.49899860145491,0.02016812394919461,0.024684811851427724,0.0231653121297565,-664743.0,1.3515660046131739,0.0,0.0,-1,0.0,0,45.0,0.10795766893756945,0.010183673469387765,-0.3807164007780153,0.19378518335222736,0.3918592399157859,0.04883227176220806,0.0020283975659229903,-0.643920607243867,0.033259109311740864,0.0
